                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                  1.129,                0.57964,                 1.2048,                0.97433,                0.94366,                0.97289,                0.66908,                 1.1823,                0.45082,                  1.193,               0.003763,               0.003763,               0.003763
                     65,                   1.12,                0.57624,                 1.2032,                0.97526,                0.94307,                0.97315,                 0.6695,                 1.1816,                0.44991,                 1.1925,               0.003664,               0.003664,               0.003664
                     66,                  1.121,                0.57302,                 1.2001,                0.97578,                0.94325,                 0.9724,                 0.6702,                  1.181,                0.44941,                 1.1921,               0.003565,               0.003565,               0.003565
                     67,                 1.1192,                 0.5752,                 1.2003,                0.97622,                0.94354,                0.97255,                0.67053,                 1.1803,                0.44934,                 1.1919,               0.003466,               0.003466,               0.003466
                     68,                 1.1185,                0.57067,                  1.201,                0.97624,                0.94425,                0.97313,                0.67114,                 1.1798,                0.44874,                 1.1918,               0.003367,               0.003367,               0.003367
                     69,                 1.1165,                0.57565,                 1.1978,                0.97547,                0.94512,                0.97322,                0.67177,                 1.1787,                0.44818,                  1.191,               0.003268,               0.003268,               0.003268
                     70,                 1.1177,                0.56647,                 1.1987,                0.97533,                0.94557,                0.97322,                0.67202,                  1.178,                0.44756,                 1.1903,               0.003169,               0.003169,               0.003169
                     71,                 1.1119,                0.56059,                 1.1957,                0.97439,                0.94653,                0.97347,                0.67249,                 1.1771,                0.44697,                 1.1897,                0.00307,                0.00307,                0.00307
                     72,                 1.1122,                0.56043,                  1.192,                0.97297,                0.94653,                0.97352,                0.67316,                 1.1762,                0.44622,                 1.1891,               0.002971,               0.002971,               0.002971
                     73,                 1.1113,                 0.5598,                 1.1931,                0.97483,                0.94653,                0.97507,                0.67342,                 1.1755,                 0.4458,                 1.1886,               0.002872,               0.002872,               0.002872
                     74,                  1.105,                0.56149,                 1.1889,                0.97453,                0.94559,                0.97507,                 0.6737,                 1.1744,                  0.445,                 1.1879,               0.002773,               0.002773,               0.002773
                     75,                 1.0956,                0.55324,                 1.1861,                0.97439,                0.94569,                0.97498,                0.67434,                 1.1734,                0.44462,                 1.1872,               0.002674,               0.002674,               0.002674
                     76,                 1.1012,                0.55177,                 1.1866,                 0.9744,                0.94608,                0.97508,                0.67464,                 1.1729,                0.44405,                 1.1866,               0.002575,               0.002575,               0.002575
                     77,                 1.0997,                0.55237,                 1.1863,                0.97388,                  0.947,                0.97515,                0.67469,                 1.1724,                0.44361,                 1.1862,               0.002476,               0.002476,               0.002476
                     78,                 1.0936,                 0.5483,                 1.1821,                 0.9738,                0.94747,                0.97529,                0.67479,                 1.1715,                0.44384,                 1.1856,               0.002377,               0.002377,               0.002377
                     79,                 1.0961,                0.54611,                 1.1836,                0.97418,                0.94747,                0.97575,                0.67508,                 1.1709,                0.44308,                 1.1852,               0.002278,               0.002278,               0.002278
                     80,                 1.0911,                0.54181,                 1.1779,                0.97349,                0.94736,                0.97585,                0.67627,                 1.1702,                 0.4428,                 1.1847,               0.002179,               0.002179,               0.002179
                     81,                  1.092,                0.54269,                 1.1807,                0.97164,                0.94934,                0.97601,                0.67636,                 1.1699,                 0.4423,                 1.1843,                0.00208,                0.00208,                0.00208
                     82,                   1.09,                0.54046,                 1.1812,                0.97213,                0.94879,                0.97557,                0.67683,                 1.1695,                0.44212,                 1.1839,               0.001981,               0.001981,               0.001981
                     83,                 1.0786,                0.53404,                 1.1725,                0.97213,                0.94906,                0.97552,                 0.6769,                  1.169,                0.44165,                 1.1834,               0.001882,               0.001882,               0.001882
                     84,                 1.0781,                  0.535,                 1.1706,                0.97235,                0.94934,                0.97586,                0.67753,                 1.1688,                0.44093,                 1.1831,               0.001783,               0.001783,               0.001783
                     85,                 1.0773,                0.52879,                  1.174,                0.97286,                0.94887,                0.97599,                0.67694,                 1.1685,                0.44053,                 1.1827,               0.001684,               0.001684,               0.001684
                     86,                 1.0729,                0.52689,                  1.171,                0.97296,                0.94887,                0.97613,                 0.6777,                  1.168,                0.44004,                 1.1824,               0.001585,               0.001585,               0.001585
                     87,                 1.0699,                0.52288,                 1.1705,                0.97259,                0.94981,                0.97623,                0.67757,                 1.1677,                0.43982,                 1.1821,               0.001486,               0.001486,               0.001486
                     88,                 1.0635,                0.51608,                 1.1662,                0.97286,                0.94981,                0.97631,                0.67657,                 1.1671,                0.43933,                 1.1818,               0.001387,               0.001387,               0.001387
